Issue Type,Summary,Description,Epic Name,Epic Link,Owner,Sprint,Priority,Labels
Epic,Program Governance and Architecture,"Cross-track governance, architecture decisions, and release readiness coordination.",WOW-EPIC-Program,,Technical Lead,Sprint 1,Highest,"program,architecture,governance"
Epic,Track A Backend Platform and Service Hardening,"Backend service hardening and production readiness.",WOW-EPIC-Backend-Platform,,Backend Lead,Sprint 1,Highest,"backend,platform,security"
Epic,Track B Data Layer and Database Readiness,"PostgreSQL, MongoDB, Redis model readiness and operations.",WOW-EPIC-Data-Layer,,Data Lead,Sprint 1,Highest,"data,postgres,mongodb,redis"
Epic,Track C Core Feature Completion,"Complete major pending product features and integrations.",WOW-EPIC-Core-Features,,Backend Lead,Sprint 4,High,"features,payments,notifications,admin"
Epic,Track D Frontend Web Completion,"Finish production-grade web integration and UX quality.",WOW-EPIC-Frontend-Web,,Frontend Lead,Sprint 2,High,"frontend,web,ux"
Epic,Track E Mobile Application Delivery,"Build and ship mobile app v1 using shared APIs.",WOW-EPIC-Mobile-App,,Mobile Lead,Sprint 2,High,"mobile,react-native,app"
Epic,Track F DevOps Security and Environment Management,"Build CI/CD, environments, observability, and operational controls.",WOW-EPIC-DevOps,,DevOps Lead,Sprint 1,Highest,"devops,cicd,security,ops"
Epic,Track G QA and Release Readiness,"Quality strategy, automation, regression, and release gates.",WOW-EPIC-QA-Release,,QA Lead,Sprint 3,High,"qa,testing,release"
Story,Freeze API contract v1 for web and mobile,"Publish stable OpenAPI contract and change-control process.",,WOW-EPIC-Program,Technical Lead,Sprint 1,Highest,"api,contract"
Story,Define Definition of Done for all modules,"Standardize acceptance criteria: code review, tests, docs, observability, QA sign-off.",,WOW-EPIC-Program,Product PM,Sprint 1,High,"process,dod"
Story,Create Jira board and epics from execution plan,"Initialize project board and workflow columns for all tracks.",,WOW-EPIC-Program,Product PM,Sprint 1,Medium,"jira,planning"
Story,Finalize architecture and ownership matrix,"Confirm owners for backend data frontend mobile devops qa and product.",,WOW-EPIC-Program,Technical Lead,Sprint 1,High,"ownership,architecture"
Story,Prepare release criteria and sign-off template,"Define go/no-go checklist and approvers for release candidate.",,WOW-EPIC-Program,Product PM,Sprint 6,Medium,"release,governance"
Story,Replace SQLite with env-driven PostgreSQL config,"Use env-aware TypeORM settings and production-safe defaults.",,WOW-EPIC-Backend-Platform,Backend Lead,Sprint 1,Highest,"backend,postgres,config"
Story,Implement TypeORM migration strategy,"Add migration generation and execution flow and baseline migration set.",,WOW-EPIC-Backend-Platform,Backend Lead,Sprint 1,Highest,"typeorm,migrations"
Story,Disable synchronize outside local development,"Prevent destructive schema sync in dev/staging/prod.",,WOW-EPIC-Backend-Platform,Backend Lead,Sprint 1,Highest,"typeorm,safety"
Story,Add environment profile validation,"Introduce local dev staging prod profiles with strict env schema validation.",,WOW-EPIC-Backend-Platform,Backend Lead,Sprint 1,High,"config,validation"
Story,Introduce structured logging and tracing,"Add request correlation IDs and structured logs for all API requests.",,WOW-EPIC-Backend-Platform,Backend Lead,Sprint 2,High,"observability,logging"
